Virus Name,Virus Protein,Human Protein,Bait_Prey,PreyGene,MIST,Reproducibility,Specificity,Abundance,SaintScore,BFDR,AvgSpec,Spec,CtrlCounts,FoldChange
SARS-CoV2,E,A0A0U1RRE5,E-A0A0U1RRE5,NBDY,0.3223596,0.93217644,0.050674028,0.002961446,0.04,0.5,1.67,1|1|3,3|0|2|3|2|0|0|3|1|2|1,1.08
SARS-CoV2,E,A1KXE4,E-A1KXE4,FAM168B,0.012301656,0.00000000,0.017943784,0.000169901,0,0.69,0.33,0|1|0,1|0|0|0|0|1|0|0|1|2|1,0.61
SARS-CoV2,E,A6NDG6,E-A6NDG6,PGP,0.318944611,0.94082756,0.04181477,0.001114406,0,0.62,3.33,1|3|6,2|3|6|4|5|4|4|5|6|3|3,0.81
SARS-CoV2,E,A6NHQ2,E-A6NHQ2,FBLL1,0.046175657,0.00000000,0.067358785,8.99E-05,0,0.69,0.33,0|0|1,0|0|0|0|0|0|0|0|1|0|0,3.33
SARS-CoV2,E,E9PRG8,E-E9PRG8,C11orf98,0.34460932,0.94958951,0.075307678,0.00139309,0.1,0.44,1.33,1|1|2,1|1|0|1|2|1|1|0|0|0|2,1.63
SARS-CoV2,E,O00139,E-O00139,KIF2A,0.032190109,0.00000000,0.046957159,8.51E-05,0.3,0.32,0.67,0|0|2,0|0|0|0|0|0|0|1|1|0|0,3.67
SARS-CoV2,E,O00165,E-O00165,HAX1,0.010198889,0.00000000,0.014875941,0.000215256,0.32,0.23,0.67,0|0|2,0|0|0|0|0|0|0|0|0|0|0,6.67
SARS-CoV2,E,O00170,E-O00170,AIP,0.285577991,0.85809390,0.03037918,0.000847095,0,0.69,2,2|1|3,6|4|6|5|2|1|3|4|5|4|4,0.5
SARS-CoV2,E,O00178,E-O00178,GTPBP1,0.240945996,0.59238527,0.08486607,0.000139293,0.19,0.39,1,0|1|2,1|1|1|1|1|0|0|0|0|0|0,2.2
SARS-CoV2,E,O00203,E-O00203,AP3B1,0.963550095,0.99565177,0.957475075,0.000489286,0.99,0,4.67,2|6|6,0|0|0|0|0|0|0|0|0|0|0,46.67
SARS-CoV2,E,O00244,E-O00244,ATOX1,0.32284905,0.98632595,0.027004442,0.004377469,0,0.63,2.67,1|3|4,4|3|4|8|3|4|4|5|3|1|0,0.75
SARS-CoV2,E,O00422,E-O00422,SAP18,0.061973772,0.00000000,0.090403644,0.000196263,0,0.69,0.33,0|0|1,0|1|1|0|0|0|0|0|1|0|0,1.22
SARS-CoV2,E,O00443,E-O00443,PIK3C2A,0.275017263,0.62983119,0.117715604,3.75E-05,0,0.69,0.67,0|1|1,0|0|0|0|0|0|0|0|1|0|0,6.67
SARS-CoV2,E,O00458,E-O00458,IFRD1,0.268574808,0.62983119,0.108316666,0.000140042,0,0.69,0.67,0|1|1,0|0|0|1|0|0|0|0|0|0|0,6.67
SARS-CoV2,E,O00479,E-O00479,HMGN4,0.161693277,0.47519120,0.021987116,0.001702707,0.07,0.47,1.67,0|1|4,1|2|1|2|2|2|3|1|0|2|3,0.96
SARS-CoV2,E,O00483,E-O00483,NDUFA4,0.312457717,0.90727125,0.047449226,0.001744714,0,0.69,1,1|1|1,0|0|1|0|0|0|0|1|1|0|1,2.75
SARS-CoV2,E,O00488,E-O00488,ZNF593,0.047579269,0.00000000,0.069403216,0.000448183,0.23,0.36,0.67,0|0|2,0|0|0|1|2|0|0|1|0|0|0,1.83
SARS-CoV2,E,O00541,E-O00541,PES1,0.235678718,0.60734723,0.070444491,0.000582858,0.23,0.37,3.67,0|4|7,1|2|1|6|5|4|0|0|2|1|2,1.68
SARS-CoV2,E,O00567,E-O00567,NOP56,0.204319123,0.60294344,0.026682886,0.000268432,0.34,0.17,1.67,0|3|2,0|3|1|1|0|0|0|1|2|0|0,2.29
SARS-CoV2,E,O00571,E-O00571,DDX3X,0.327034718,0.97780126,0.036980182,0.000572407,0,0.6,3,2|4|3,5|4|1|1|3|2|2|5|4|3|3,1
SARS-CoV2,E,O00743,E-O00743,PPP6C,0.027081208,0.00000000,0.039504342,9.85E-05,0,0.69,0.33,0|0|1,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,E,O14556,E-O14556,GAPDHS,0.009659058,0.00000000,0.014089684,7.36E-05,0,0.69,0.33,0|0|1,0|1|1|2|1|1|1|0|0|1|1,0.41
SARS-CoV2,E,O14617,E-O14617,AP3D1,0.460963359,0.47519120,0.458566361,0.000132909,0.33,0.18,1.67,0|1|4,0|0|0|0|0|0|0|0|0|0|0,16.67
SARS-CoV2,E,O14654,E-O14654,IRS4,0.293700957,0.85021609,0.045779684,0.000227324,0.65,0.05,2,2|3|1,0|0|0|1|0|0|0|0|0|0|0,20
SARS-CoV2,E,O14730,E-O14730,RIOK3,0.20943204,0.00000000,0.305512188,6.38E-05,0,0.69,0.33,0|1|0,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,E,O14735,E-O14735,CDIPT,0.035457565,0.00000000,0.051721168,0.000366962,0,0.69,0.33,1|0|0,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,E,O14757,E-O14757,CHEK1,0.344766814,0.99292735,0.05604003,0.000492666,0,0.6,2,1|2|3,2|2|2|4|3|1|1|4|5|2|2,0.79
SARS-CoV2,E,O14776,E-O14776,TCERG1,0.041729881,0.00000000,0.060873974,2.73E-05,0,0.69,0.33,0|0|1,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,E,O14965,E-O14965,AURKA,0.013351515,0.00000000,0.019475333,0.00016442,0.06,0.48,0.67,0|2|0,0|1|1|2|2|0|3|1|1|0|0,0.67
SARS-CoV2,E,O15042,E-O15042,U2SURP,0.336987969,0.99151151,0.045314098,0.002291039,0,0.69,19,12|22|23,25|31|14|16|16|24|23|14|25|17|21,0.92
SARS-CoV2,E,O15145,E-O15145,ARPC3,0.215369376,0.62983119,0.03070042,0.000354825,0,0.69,0.67,0|1|1,2|1|0|1|0|1|0|1|1|0|1,0.92
SARS-CoV2,E,O15235,E-O15235,MRPS12,0.305616182,0.91594635,0.033556629,0.002659649,0,0.59,3.33,1|6|3,6|2|6|6|4|3|1|6|3|1|2,0.92
SARS-CoV2,E,O15347,E-O15347,HMGB3,0.227397441,0.62983119,0.048222205,0.003157945,0.01,0.56,6.67,0|10|10,2|6|3|14|9|4|1|0|3|8|5,1.33
SARS-CoV2,E,O15371,E-O15371,EIF3D,0.262384875,0.62983119,0.099287205,0.000115253,0,0.69,0.67,0|1|1,0|0|0|1|0|0|0|0|1|0|0,3.67
SARS-CoV2,E,O15372,E-O15372,EIF3H,0.235578055,0.62983119,0.060181717,0.000179429,0,0.69,0.67,0|1|1,0|0|0|1|0|0|0|0|0|0|0,6.67
SARS-CoV2,E,O43175,E-O43175,PHGDH,0.322416579,0.99166337,0.024002184,0.000829441,0.38,0.16,3.67,2|5|4,1|2|5|2|0|1|1|1|2|1|0,2.52
SARS-CoV2,E,O43290,E-O43290,SART1,0.234452088,0.59238527,0.075393163,0.000116484,0.23,0.36,1,0|1|2,0|0|0|1|1|0|0|1|1|0|0,2.75
SARS-CoV2,E,O43390,E-O43390,HNRNPR,0.00619531,0.00000000,0.009037108,4.74E-05,0,0.69,0.33,0|0|1,0|7|5|3|0|0|0|0|2|0|0,0.22
SARS-CoV2,E,O43396,E-O43396,TXNL1,0.190332988,0.52989182,0.039157595,0.000426351,0.04,0.5,1.33,0|1|3,3|1|3|3|0|0|0|1|3|2|1,0.86
SARS-CoV2,E,O43482,E-O43482,OIP5,0.313568215,0.90727125,0.04907899,0.000617126,0,0.69,1,1|1|1,3|1|1|1|1|2|2|0|2|1|1,0.73
SARS-CoV2,E,O43583,E-O43583,DENR,0.193306002,0.52989182,0.043492829,0.0006223,0.2,0.38,1.33,0|1|3,1|0|0|4|1|2|0|0|1|0|0,1.63
SARS-CoV2,E,O43663,E-O43663,PRC1,0.012841162,0.00000000,0.018731855,4.84E-05,0,0.69,0.33,0|0|1,0|0|3|1|1|0|0|2|0|1|0,0.46
SARS-CoV2,E,O43670,E-O43670,ZNF207,0.228413355,0.56487245,0.078964357,0.000402885,0.41,0.15,2,0|4|2,0|1|1|2|3|1|0|0|0|0|0,2.75
SARS-CoV2,E,O43684,E-O43684,BUB3,0.21692872,0.61547855,0.039427212,0.001237437,0.02,0.54,4.33,0|5|8,5|4|3|6|5|2|2|2|5|5|3,1.13
SARS-CoV2,E,O43809,E-O43809,NUDT21,0.221720854,0.61428741,0.046956158,0.000980649,0.1,0.45,2.33,0|4|3,1|2|2|4|2|2|1|1|0|2|2,1.35
SARS-CoV2,E,O43813,E-O43813,LANCL1,0.040476497,0.00000000,0.059045161,7.53E-05,0,0.69,0.33,0|0|1,1|1|1|0|0|1|0|0|1|0|0,0.73
