Index,Viral protein,Host protein,Host Gene
SARS-CoV-2,E,O95429,BAG4
SARS-CoV-2,E,Q96BA8,CREB3L1
SARS-CoV-2,E,O75360,PROP1
SARS-CoV-2,E,P61165,TMEM258
SARS-CoV-2,N,P78563,ADARB1
SARS-CoV-2,N,O15145,ARPC3
SARS-CoV-2,N,Q13895,BYSL
SARS-CoV-2,N,Q16543,CDC37
SARS-CoV-2,N,Q08426,EHHADH
SARS-CoV-2,N,P19525,EIF2AK2
SARS-CoV-2,N,Q14241,ELOA
SARS-CoV-2,N,Q13283,G3BP1
SARS-CoV-2,N,Q9UN86,G3BP2
SARS-CoV-2,N,Q07866,KLC1
SARS-CoV-2,N,Q9H0B6,KLC2
SARS-CoV-2,N,Q9NSK0,KLC4
SARS-CoV-2,N,Q9NX58,LYAR
SARS-CoV-2,N,Q9UBU8,MORF4L1
SARS-CoV-2,N,Q15014,MORF4L2
SARS-CoV-2,N,O15226,NKRF
SARS-CoV-2,N,O75569,PRKRA
SARS-CoV-2,N,P54727,RAD23B
SARS-CoV-2,N,Q15633,TARBP2
SARS-CoV-2,N,O60763,USO1
SARS-CoV-2,N,Q93008,USP9X
SARS-CoV-2,N,Q96HA8,WDYHV1
SARS-CoV-2,NSP1,Q9NXS3,KLHL28
SARS-CoV-2,NSP1,P56192,MARS
SARS-CoV-2,NSP10,A8MW99,MEI4
SARS-CoV-2,NSP12,Q09666,AHNAK
SARS-CoV-2,NSP12,Q96B67,ARRDC3
SARS-CoV-2,NSP12,Q96P56,CATSPER2
SARS-CoV-2,NSP12,Q9NX63,CHCHD3
SARS-CoV-2,NSP12,Q96NS8,CLUHP3
SARS-CoV-2,NSP12,Q8N684,CPSF7
SARS-CoV-2,NSP12,Q96D03,DDIT4L
SARS-CoV-2,NSP12,Q9BQ66,KRTAP4-12
SARS-CoV-2,NSP12,Q8TE12,LMX1A
SARS-CoV-2,NSP12,Q9NR56,MBNL1
SARS-CoV-2,NSP12,A8MRT5,NPIPB5
SARS-CoV-2,NSP12,Q9H361,PABPC3
SARS-CoV-2,NSP12,P23759,PAX7
SARS-CoV-2,NSP12,Q96AQ6,PBXIP1
SARS-CoV-2,NSP12,Q9NP87,POLM
SARS-CoV-2,NSP12,Q9BRQ0,PYGO2
SARS-CoV-2,NSP12,Q9NTJ5,SACM1L
SARS-CoV-2,NSP12,P50453,SERPINB9
SARS-CoV-2,NSP12,Q9BXI2,SLC25A2
SARS-CoV-2,NSP12,P17023,ZNF19
SARS-CoV-2,NSP12,Q7Z3I7,ZNF572
SARS-CoV-2,NSP13,Q8WWN8,ARAP3
SARS-CoV-2,NSP13,Q13363,CTBP1-AS2
SARS-CoV-2,NSP13,Q9Y2M5,KLHL20
SARS-CoV-2,NSP13,O75360,PROP1
SARS-CoV-2,NSP13,P49765,VEGFB
SARS-CoV-2,NSP14,Q9BXI9,C1QTNF6
SARS-CoV-2,NSP14,Q6IC83,C22orf42
SARS-CoV-2,NSP14,Q2TAC2,CCDC57
SARS-CoV-2,NSP14,Q9BV73,CEP250
SARS-CoV-2,NSP14,P53675,CLTCL1
SARS-CoV-2,NSP14,Q9Y2V7,COG6
SARS-CoV-2,NSP14,Q08379,GOLGA2
SARS-CoV-2,NSP14,A6NEM1,GOLGA6L9
SARS-CoV-2,NSP14,Q9Y6K9,IKBKG
SARS-CoV-2,NSP14,O60229,KALRN
