Virus	Viral protein	Host protein
SARS-CoV-2	ORF3B	P49810
SARS-CoV-2	NSP16	Q5JSZ5
SARS-CoV-2	NSP7	Q9NTN9
SARS-CoV-2	M	Q7L3V2
SARS-CoV-2	NSP12	Q9UM19
SARS-CoV-2	NSP13	O15195
SARS-CoV-2	NSP14	P48230
SARS-CoV-2	NSP16	O00399
SARS-CoV-2	E	Q9HAD4
SARS-CoV-2	NSP7	Q15459
SARS-CoV-2	N	Q8WVV9
SARS-CoV-2	E	P58753
SARS-CoV-2	ORF3A	Q9NQX5
SARS-CoV-2	ORF3A	Q9P021
SARS-CoV-2	ORF6	Q8TBE7
SARS-CoV-2	NSP5	Q96QF0
SARS-CoV-2	NSP14	Q96EK2
SARS-CoV-2	ORF7B	Q7Z7F0
SARS-CoV-2	NSP16	Q5T7W7
SARS-CoV-2	NSP2	P62310
SARS-CoV-2	ORF6	Q9BT67
SARS-CoV-2	NSP5	Q69YN2
SARS-CoV-2	NSP15	P49711
SARS-CoV-2	NSP16	Q8WVY7
SARS-CoV-2	ORF6	O14625
SARS-CoV-2	NSP4	O94989
SARS-CoV-2	NSP6	O00506
SARS-CoV-2	NSP8	Q6PL18
SARS-CoV-2	NSP8	P58753
SARS-CoV-2	ORF6	Q9Y467
SARS-CoV-2	NSP6	Q5JXC2
SARS-CoV-2	S	P62310
SARS-CoV-2	E	Q9H2H8
SARS-CoV-2	ORF6	Q9UHJ9
SARS-CoV-2	NSP8	O76090
SARS-CoV-2	NSP15	Q96RQ3
SARS-CoV-2	ORF3A	Q15043
SARS-CoV-2	NSP14	Q8TAX7
SARS-CoV-2	NSP3	Q9BRX5
SARS-CoV-2	ORF7A	Q6UX01
SARS-CoV-2	NSP1	Q96IJ6
SARS-CoV-2	NSP1	O00399
SARS-CoV-2	NSP6	Q9NZJ9
SARS-CoV-2	NSP12	P82663
SARS-CoV-2	NSP13	Q9H2H8
SARS-CoV-2	NSP1	P49810
SARS-CoV-2	NSP3	Q9HAD4
SARS-CoV-2	NSP16	P60604
SARS-CoV-2	ORF3A	P48230
SARS-CoV-2	ORF7B	O94989
SARS-CoV-2	NSP8	Q7L3V2
SARS-CoV-2	NSP4	O76090
SARS-CoV-2	NSP1	Q15043
SARS-CoV-2	ORF8	Q9UM19
SARS-CoV-2	E	Q9NVT9
SARS-CoV-2	ORF7A	Q96EK2
SARS-CoV-2	NSP7	Q9NZJ9
SARS-CoV-2	NSP14	Q8WZ60
SARS-CoV-2	ORF9B	Q9H1M0
SARS-CoV-2	NSP12	Q9UHJ9
SARS-CoV-2	NSP15	Q969T3
SARS-CoV-2	M	O14771
SARS-CoV-2	NSP1	Q9NZJ9
SARS-CoV-2	ORF3A	Q9NUQ8
SARS-CoV-2	NSP2	Q16643
SARS-CoV-2	NSP16	Q9UHJ9
SARS-CoV-2	NSP16	Q8N6S5
SARS-CoV-2	NSP8	Q8IZD6
SARS-CoV-2	ORF6	Q9H2H8
SARS-CoV-2	ORF8	P01275
SARS-CoV-2	M	Q9UHJ9
SARS-CoV-2	M	Q5JSZ5
SARS-CoV-2	NSP4	Q96MF2
SARS-CoV-2	NSP10	Q96QF0
SARS-CoV-2	NSP1	Q5JSZ5
SARS-CoV-2	ORF6	Q9NTN9
SARS-CoV-2	ORF3A	Q9BRX5
SARS-CoV-2	NSP5	Q15459
SARS-CoV-2	N	O76090
SARS-CoV-2	NSP15	Q9BTE3
SARS-CoV-2	ORF9B	Q6PL18
SARS-CoV-2	E	Q13572
SARS-CoV-2	ORF7A	Q15233
SARS-CoV-2	NSP7	P27824
SARS-CoV-2	NSP4	P51948
SARS-CoV-2	ORF9B	P49450
SARS-CoV-2	ORF3B	P28068
SARS-CoV-2	NSP1	P30531
SARS-CoV-2	NSP4	O96005
SARS-CoV-2	NSP13	O00712
SARS-CoV-2	NSP7	P40425
SARS-CoV-2	ORF3A	P25445
SARS-CoV-2	ORF6	P20337
SARS-CoV-2	ORF9B	P25445
SARS-CoV-2	N	P22003
SARS-CoV-2	ORF8	P62495
SARS-CoV-2	NSP12	P50402
SARS-CoV-2	NSP2	P30531
SARS-CoV-2	NSP2	P12236
SARS-CoV-2	NSP2	Q14330
SARS-CoV-2	ORF6	O76083
SARS-CoV-2	ORF9C	P16403
SARS-CoV-2	NSP16	Q15233
SARS-CoV-2	NSP1	P00918
SARS-CoV-2	NSP13	P14317
SARS-CoV-2	NSP10	P52952
SARS-CoV-2	ORF8	P12236
SARS-CoV-2	ORF9C	P13725
SARS-CoV-2	NSP6	P18754
SARS-CoV-2	NSP2	P07359
SARS-CoV-2	ORF7A	P48509
SARS-CoV-2	ORF9B	P60033
SARS-CoV-2	ORF9B	O43915
SARS-CoV-2	NSP6	P29508
SARS-CoV-2	NSP4	P13473
SARS-CoV-2	N	P48509
SARS-CoV-2	ORF9C	Q8WTV0
SARS-CoV-2	ORF8	P30531
SARS-CoV-2	ORF9B	P43304
SARS-CoV-2	NSP12	P16234
SARS-CoV-2	NSP13	Q16401
SARS-CoV-2	NSP13	P62495
SARS-CoV-2	NSP10	P07359
SARS-CoV-2	E	Q13002
SARS-CoV-2	NSP2	P20382
SARS-CoV-2	NSP13	P47804
SARS-CoV-2	NSP4	P49736
SARS-CoV-2	NSP13	O76083
SARS-CoV-2	M	P28906
SARS-CoV-2	N	P51570
SARS-CoV-2	NSP10	Q04771
SARS-CoV-2	M	P11245
SARS-CoV-2	NSP13	P12236
SARS-CoV-2	ORF7A	P48047
SARS-CoV-2	NSP8	Q13895
SARS-CoV-2	NSP10	P51570
SARS-CoV-2	NSP1	Q13572
SARS-CoV-2	NSP7	P13725
SARS-CoV-2	NSP9	P59665
SARS-CoV-2	ORF9B	P16403
SARS-CoV-2	NSP8	P98179
SARS-CoV-2	ORF7A	P49450
SARS-CoV-2	ORF7B	Q04771
SARS-CoV-2	ORF3B	P43304
SARS-CoV-2	ORF10	O96005
SARS-CoV-2	NSP2	P28702
SARS-CoV-2	ORF3A	P35070
SARS-CoV-2	ORF6	Q00604
SARS-CoV-2	ORF3A	P00918
SARS-CoV-2	NSP9	P98179
SARS-CoV-2	N	P11177
SARS-CoV-2	NSP4	P49450
SARS-CoV-2	ORF7B	Q00688
SARS-CoV-2	ORF7B	Q13875
SARS-CoV-2	NSP7	P28702
SARS-CoV-2	E	P59665
SARS-CoV-2	ORF3B	P14317
SARS-CoV-2	ORF9B	Q92988
SARS-CoV-2	NSP12	P52952
