Virus Name,Virus Protein,Host protein
SARS-CoV-2,E,O00203
SARS-CoV-2,E,O60885
SARS-CoV-2,E,P25440
SARS-CoV-2,E,Q6UX04
SARS-CoV-2,E,Q86VM9
SARS-CoV-2,E,Q8IWA5
SARS-CoV-2,M,O75439
SARS-CoV-2,M,O95070
SARS-CoV-2,M,P05026
SARS-CoV-2,M,P11310
SARS-CoV-2,M,P13804
SARS-CoV-2,M,P27105
SARS-CoV-2,M,P38435
SARS-CoV-2,M,P38606
SARS-CoV-2,M,P48556
SARS-CoV-2,M,Q00765
SARS-CoV-2,M,Q10713
SARS-CoV-2,M,Q4KMQ2
SARS-CoV-2,M,Q5JRX3
SARS-CoV-2,M,Q6PML9
SARS-CoV-2,M,Q7L8L6
SARS-CoV-2,M,Q8NEW0
SARS-CoV-2,M,Q96CW5
SARS-CoV-2,M,Q96D53
SARS-CoV-2,M,Q96ER3
SARS-CoV-2,M,Q96HR9
SARS-CoV-2,M,Q96HW7
SARS-CoV-2,M,Q9BQT8
SARS-CoV-2,M,Q9BSJ2
SARS-CoV-2,M,Q9BW92
SARS-CoV-2,M,Q9NQC3
SARS-CoV-2,M,Q9UBU6
SARS-CoV-2,M,Q9UDR5
SARS-CoV-2,M,Q9ULX6
SARS-CoV-2,M,Q9Y312
SARS-CoV-2,M,Q9Y6E2
SARS-CoV-2,N,O43818
SARS-CoV-2,N,P11940
SARS-CoV-2,N,P19784
SARS-CoV-2,N,P67870
SARS-CoV-2,N,Q13283
SARS-CoV-2,N,Q13310
SARS-CoV-2,N,Q6PKG0
SARS-CoV-2,N,Q8NCA5
SARS-CoV-2,N,Q8TAD8
SARS-CoV-2,N,Q92900
SARS-CoV-2,N,Q9HCE1
SARS-CoV-2,N,Q9UN86
SARS-CoV-2,N,Q9NR30
SARS-CoV-2,N,Q9NW13
SARS-CoV-2,N,Q9Y3U8
SARS-CoV-2,S,Q7Z5G4
SARS-CoV-2,S,Q9C0B5
SARS-CoV-2,nsp1,P09884
SARS-CoV-2,nsp1,P49642
SARS-CoV-2,nsp1,P49643
SARS-CoV-2,nsp1,Q14181
SARS-CoV-2,nsp1,Q8NBJ5
SARS-CoV-2,nsp1,Q99959
SARS-CoV-2,nsp10,O94973
SARS-CoV-2,nsp10,P55789
SARS-CoV-2,nsp10,Q969X5
SARS-CoV-2,nsp10,Q96CW1
SARS-CoV-2,nsp10,Q9HAV7
SARS-CoV-2,nsp11,O75347
SARS-CoV-2,nsp12,A3KN83
SARS-CoV-2,nsp12,O14874
SARS-CoV-2,nsp12,O43823
SARS-CoV-2,nsp12,O75592
SARS-CoV-2,nsp12,O95391
SARS-CoV-2,nsp12,Q13546
SARS-CoV-2,nsp12,Q14157
SARS-CoV-2,nsp12,Q2T9J0
SARS-CoV-2,nsp12,Q5EBL8
SARS-CoV-2,nsp12,Q5JSZ5
SARS-CoV-2,nsp12,Q5T6F2
SARS-CoV-2,nsp12,Q5VUA4
SARS-CoV-2,nsp12,Q6UUV7
SARS-CoV-2,nsp12,Q70EL1
SARS-CoV-2,nsp12,Q8IWR0
SARS-CoV-2,nsp12,Q92615
SARS-CoV-2,nsp12,Q96IZ5
SARS-CoV-2,nsp12,Q99081
SARS-CoV-2,nsp12,Q9H2H8
SARS-CoV-2,nsp12,Q9HAU0
SARS-CoV-2,nsp13,A7MCY6
SARS-CoV-2,nsp13,O14578
SARS-CoV-2,nsp13,O75506
SARS-CoV-2,nsp13,O95613
SARS-CoV-2,nsp13,O95684
SARS-CoV-2,nsp13,P13861
SARS-CoV-2,nsp13,P17612
SARS-CoV-2,nsp13,P31323
SARS-CoV-2,nsp13,P35241
SARS-CoV-2,nsp13,P49454
SARS-CoV-2,nsp13,Q04724
SARS-CoV-2,nsp13,Q04726
SARS-CoV-2,nsp13,Q08117
SARS-CoV-2,nsp13,Q08378
SARS-CoV-2,nsp13,Q08379
SARS-CoV-2,nsp13,Q14789
SARS-CoV-2,nsp13,Q4V328
SARS-CoV-2,nsp13,Q5VT06
SARS-CoV-2,nsp13,Q5VU43
SARS-CoV-2,nsp13,Q66GS9
SARS-CoV-2,nsp13,Q76N32
SARS-CoV-2,nsp13,Q7Z7A1
SARS-CoV-2,nsp13,Q8IUD2
SARS-CoV-2,nsp13,Q8IWJ2
SARS-CoV-2,nsp13,Q8N3C7
SARS-CoV-2,nsp13,Q8N4C6
SARS-CoV-2,nsp13,Q8N8E3
SARS-CoV-2,nsp13,Q8TD10
SARS-CoV-2,nsp13,Q92995
SARS-CoV-2,nsp13,Q96CN9
SARS-CoV-2,nsp13,Q96N16
SARS-CoV-2,nsp13,Q96SN8
SARS-CoV-2,nsp13,Q99996
SARS-CoV-2,nsp13,Q9BQQ3
SARS-CoV-2,nsp13,Q9BQS8
SARS-CoV-2,nsp13,Q9BV19
SARS-CoV-2,nsp13,Q9BV73
SARS-CoV-2,nsp13,Q9UHD2
SARS-CoV-2,nsp13,Q9UJC3
SARS-CoV-2,nsp13,Q9Y2I6
SARS-CoV-2,nsp14,P06280
SARS-CoV-2,nsp14,P12268
SARS-CoV-2,nsp14,Q9NXA8
SARS-CoV-2,nsp15,P61970
SARS-CoV-2,nsp15,P62330
SARS-CoV-2,nsp15,Q9H4P4
SARS-CoV-2,nsp16,O14972
SARS-CoV-2,nsp16,O43933
SARS-CoV-2,nsp16,O60826
SARS-CoV-2,nsp16,O75382
SARS-CoV-2,nsp16,O75564
SARS-CoV-2,nsp16,O75665
SARS-CoV-2,nsp16,O95714
SARS-CoV-2,nsp16,O95754
SARS-CoV-2,nsp16,P28838
SARS-CoV-2,nsp16,P51530
SARS-CoV-2,nsp16,Q05086
SARS-CoV-2,nsp16,Q12923
SARS-CoV-2,nsp16,Q13043
SARS-CoV-2,nsp16,Q13049
SARS-CoV-2,nsp16,Q13188
SARS-CoV-2,nsp16,Q15345
SARS-CoV-2,nsp16,Q53EZ4
SARS-CoV-2,nsp16,Q567U6
SARS-CoV-2,nsp16,Q5SVZ6
SARS-CoV-2,nsp16,Q5SZL2
SARS-CoV-2,nsp16,Q5VUJ6
SARS-CoV-2,nsp16,Q63ZY3
SARS-CoV-2,nsp16,Q6GYQ0
SARS-CoV-2,nsp16,Q6IEG0
SARS-CoV-2,nsp16,Q6ZU80
SARS-CoV-2,nsp16,Q6ZWJ1
SARS-CoV-2,nsp16,Q70EL1
SARS-CoV-2,nsp16,Q7Z3J2
SARS-CoV-2,nsp16,Q7Z4G1
SARS-CoV-2,nsp16,Q86SQ0
SARS-CoV-2,nsp16,Q86W92
SARS-CoV-2,nsp16,Q86X10
SARS-CoV-2,nsp16,Q8IUD2
SARS-CoV-2,nsp16,Q8N668
SARS-CoV-2,nsp16,Q8TEM1
SARS-CoV-2,nsp16,Q96HP0
SARS-CoV-2,nsp16,Q96II8
SARS-CoV-2,nsp16,Q9BVQ7
SARS-CoV-2,nsp16,Q9GZQ3
SARS-CoV-2,nsp16,Q9H000
SARS-CoV-2,nsp16,Q9H0H0
SARS-CoV-2,nsp16,Q9H4B6
SARS-CoV-2,nsp16,Q9NVH2
SARS-CoV-2,nsp16,Q9NX08
SARS-CoV-2,nsp16,Q9P000
SARS-CoV-2,nsp16,Q9P2D0
SARS-CoV-2,nsp16,Q9P2S5
SARS-CoV-2,nsp16,Q9UBI1
SARS-CoV-2,nsp16,Q9UHD2
SARS-CoV-2,nsp16,Q9UHP3
SARS-CoV-2,nsp16,Q9UKF6
SARS-CoV-2,nsp16,Q9UN81
SARS-CoV-2,nsp16,Q9Y2D8
SARS-CoV-2,nsp16,Q9Y2K2
SARS-CoV-2,nsp16,Q9Y6G5
SARS-CoV-2,nsp16,A7MCY6
SARS-CoV-2,nsp16,Q96LT9
SARS-CoV-2,nsp2,O14975
SARS-CoV-2,nsp2,O60573
SARS-CoV-2,nsp2,P16435
SARS-CoV-2,nsp2,P52306
SARS-CoV-2,nsp2,Q2M389
SARS-CoV-2,nsp2,Q5T1M5
SARS-CoV-2,nsp2,Q6Y7W6
SARS-CoV-2,nsp4,P14735
SARS-CoV-2,nsp4,P62072
SARS-CoV-2,nsp4,Q2TAA5
SARS-CoV-2,nsp4,Q8TEM1
SARS-CoV-2,nsp4,Q9BSF4
SARS-CoV-2,nsp4,Q9NVH1
SARS-CoV-2,nsp4,Q9Y5J6
SARS-CoV-2,nsp4,Q9Y5J7
SARS-CoV-2,nsp5,Q92769
SARS-CoV-2,nsp5_C145A,P07203
SARS-CoV-2,nsp5_C145A,Q9NXH9
SARS-CoV-2,nsp6,O75964
SARS-CoV-2,nsp6,Q15904
SARS-CoV-2,nsp6,Q99720
SARS-CoV-2,nsp6,Q9H7F0
SARS-CoV-2,nsp7,O00116
SARS-CoV-2,nsp7,O43169
SARS-CoV-2,nsp7,O95573
SARS-CoV-2,nsp7,P00387
SARS-CoV-2,nsp7,P11233
SARS-CoV-2,nsp7,P21964
SARS-CoV-2,nsp7,P51148
SARS-CoV-2,nsp7,P51149
SARS-CoV-2,nsp7,P61006
SARS-CoV-2,nsp7,P61019
SARS-CoV-2,nsp7,P61026
SARS-CoV-2,nsp7,P61106
SARS-CoV-2,nsp7,P61586
SARS-CoV-2,nsp7,P62820
SARS-CoV-2,nsp7,P62873
SARS-CoV-2,nsp7,P63218
SARS-CoV-2,nsp7,Q12907
SARS-CoV-2,nsp7,Q13724
SARS-CoV-2,nsp7,Q5JTV8
SARS-CoV-2,nsp7,Q5VT66
SARS-CoV-2,nsp7,Q6ZRP7
SARS-CoV-2,nsp7,Q7LGA3
SARS-CoV-2,nsp7,Q8N183
SARS-CoV-2,nsp7,Q8NBX0
SARS-CoV-2,nsp7,Q8WTV0
SARS-CoV-2,nsp7,Q8WUY8
SARS-CoV-2,nsp7,Q8WVC6
SARS-CoV-2,nsp7,Q96A26
SARS-CoV-2,nsp7,Q96DA6
SARS-CoV-2,nsp7,Q9BQE4
SARS-CoV-2,nsp7,Q9H7Z7
SARS-CoV-2,nsp7,Q9NP72
SARS-CoV-2,nsp8,O00566
SARS-CoV-2,nsp8,O76094
SARS-CoV-2,nsp8,O95260
SARS-CoV-2,nsp8,O96028
SARS-CoV-2,nsp8,P09132
SARS-CoV-2,nsp8,P61011
SARS-CoV-2,nsp8,P82663
SARS-CoV-2,nsp8,Q13206
SARS-CoV-2,nsp8,Q4G0J3
SARS-CoV-2,nsp8,Q7L2J0
SARS-CoV-2,nsp8,Q8NEJ9
SARS-CoV-2,nsp8,Q96B26
