,hp,hg,vp,score,score1,mist,score2
0,P62310,LSM3,E,0.1933845579624176,0,0,0
1,P01275,GCG,E,0.026507370173931122,0,0,0
2,P82663,MRPS25,E,0.07957229018211365,0,0,0
3,Q8WVV9,HNRNPLL,E,0.04688791185617447,0.2,0.043720378,0
4,Q15459,SF3A1,E,0.06208965182304382,0,0,0
5,Q9Y467,SALL2,E,0.009341149590909481,0,0,0
6,Q8N6G5,CSGALNACT2,E,0.03807312995195389,0,0,0
7,Q7Z7F0,KHDC4,E,0.02759608067572117,0,0,0
8,Q8TAX7,MUC7,E,0.0017814204329624772,0,0,0
9,P49810,PSEN2,E,0.0008903789566829801,0,0,0
10,Q5JSZ5,PRRC2B,E,0.5488265752792358,0,0,0
11,Q9NTN9,SEMA4G,E,0.004658438730984926,0,0,0
12,Q7L3V2,RTL10,E,0.05215073749423027,0,0,0
13,Q9UM19,HPCAL4,E,0.023405924439430237,0,0,0
14,O15195,VILL,E,0.046716686338186264,0,0,0
15,P48230,TM4SF4,E,0.028316697105765343,0,0,0
16,O00399,DCTN6,E,0.014085834845900536,0,0,0
17,Q9HAD4,WDR41,E,0.017941704019904137,0,0,1
18,P58753,TIRAP,E,0.629292368888855,0,0,1
19,Q9NQX5,NPDC1,E,0.011761841364204884,0,0,0
20,Q9P021,CRIPT,E,0.40956807136535645,0.03,0.20232906,0
21,Q8TBE7,SLC35G2,E,0.005240914411842823,0,0,0
22,Q96QF0,RAB3IP,E,0.042700886726379395,0,0,0
23,Q96EK2,PHF21B,E,0.0008177520940080285,0,0,0
24,Q5T7W7,TSTD2,E,0.0022103977389633656,0,0,0
25,Q9BT67,NDFIP1,E,0.10748928040266037,0,0,0
26,Q69YN2,CWF19L1,E,0.004801939241588116,0,0,0
27,P49711,CTCF,E,0.12259623408317566,0,0,0
28,Q8WVY7,UBLCP1,E,0.0060346489772200584,0,0,0
29,O14625,CXCL11,E,0.012335129082202911,0,0,0
30,O94989,ARHGEF15,E,0.015717653557658195,0,0,0
31,O00506,STK25,E,0.05821990594267845,0,0,0
32,Q6PL18,ATAD2,E,0.09386320412158966,0,0,0
33,Q5JXC2,MIIP,E,0.005032621789723635,0,0,0
34,Q9H2H8,PPIL3,E,0.05148462951183319,0,0,1
35,Q9UHJ9,PGAP2,E,0.03652004152536392,0,0,0
36,O76090,BEST1,E,0.00048113675438798964,0,0,0
37,Q96RQ3,MCCC1,E,0.10409220308065414,0.0,0.342868095,0
38,Q15043,SLC39A14,E,0.024026453495025635,0,0,0
39,Q9BRX5,GINS3,E,0.29839178919792175,0,0,0
40,Q6UX01,LMBR1L,E,0.001146472292020917,0,0,0
41,Q96IJ6,GMPPA,E,0.32355761528015137,0,0,0
42,Q9NZJ9,NUDT4,E,0.06705886870622635,0,0,0
43,P60604,UBE2G2,E,0.24834667146205902,0.0,0.032365486,0
44,Q9NVT9,ARMC1,E,0.01009244006127119,0,0,1
45,Q8WZ60,KLHL6,E,0.007902135141193867,0,0,0
46,Q9H1M0,NUP62CL,E,0.09963696449995041,0,0,0
47,Q969T3,SNX21,E,0.15976597368717194,0,0,0
48,O14771,ZNF213,E,0.003505781525745988,0,0,0
49,Q9NUQ8,ABCF3,E,0.018029741942882538,0,0,0
50,Q16643,DBN1,E,0.02002728171646595,0,0,0
51,Q8N6S5,ARL6IP6,E,0.06074720621109009,0,0,0
52,Q8IZD6,SLC22A15,E,0.0019250105833634734,0,0,0
53,Q96MF2,STAC3,E,0.12633994221687317,0,0,0
54,Q9BTE3,MCMBP,E,0.019158871844410896,0.0,0.226986778,0
55,P52952,NKX2-5,E,0.08087634295225143,0,0,0
56,P51570,GALK1,E,0.26926976442337036,0,0,0
57,P27338,MAOB,E,0.001041026902385056,0,0,0
58,P49327,FASN,E,0.0021868329495191574,0.0,0.013623258999999999,0
59,P25445,FAS,E,0.0776810571551323,0,0,0
60,P51884,LUM,E,0.02316216379404068,0,0,0
61,P59665,DEFA1; DEFA1B,E,0.4694349467754364,0,0,0
62,Q9BY32,ITPA,E,0.1766054779291153,0,0,0
63,P49441,INPP1,E,0.1174275353550911,0,0,0
64,P29508,SERPINB3,E,0.5119637250900269,0,0,0
65,Q15233,NONO,E,0.47368404269218445,0.0,0.206623258,0
66,Q13572,ITPK1,E,0.14953112602233887,0,0,1
67,P27824,CANX,E,0.5715178847312927,1.0,0.36670462600000003,0
68,P51948,MNAT1,E,0.2507021427154541,0,0,0
69,P49450,CENPA,E,0.017681363970041275,0,0,0
70,P28068,HLA-DMB,E,0.15454109013080597,0,0,0
71,P30531,SLC6A1,E,0.017220545560121536,0,0,0
72,O96005,CLPTM1,E,0.10927564650774002,0,0,0
73,O00712,NFIB,E,0.004486077465116978,0,0,0
74,P40425,PBX2,E,0.021594060584902763,0,0,0
75,P20337,RAB3B,E,0.010679541155695915,0,0,0
76,P22003,BMP5,E,0.011464808136224747,0,0,0
77,P62495,ETF1,E,0.01812293566763401,0,0,0
78,P50402,EMD,E,0.13552895188331604,0.98,0.387039005,0
79,P12236,SLC25A6,E,0.09505362808704376,0.03,0.20714089600000002,0
80,Q14330,GPR18,E,0.013742062263190746,0,0,0
81,O76083,PDE9A,E,0.07561539858579636,0,0,0
82,P16403,H1-2,E,0.1503828763961792,0.0,0.341101824,0
83,P00918,CA2,E,0.032038614153862,0,0,0
84,P14317,HCLS1,E,0.006124612409621477,0,0,0
85,P13725,OSM,E,0.05851852521300316,0,0,0
86,P18754,RCC1,E,0.0723951980471611,0.1,0.029170808,0
87,P07359,GP1BA,E,0.0031349477358162403,0,0,0
88,P48509,CD151,E,0.010026110336184502,0,0,0
89,P60033,CD81,E,0.40580397844314575,0,0,0
90,O43915,VEGFD,E,0.05882924422621727,0,0,0
91,P13473,LAMP2,E,0.0021746433340013027,0,0,0
92,Q8WTV0,SCARB1,E,0.1759372353553772,0,0,0
93,P43304,GPD2,E,0.15005016326904297,0,0,0
94,P16234,PDGFRA,E,0.08348635584115982,0,0,0
95,Q16401,PSMD5,E,0.0053467038087546825,0,0,0
96,Q16478,GRIK5,E,0.03925683721899986,0,0,0
97,Q13002,GRIK2,E,0.00021360792743507773,0,0,1
98,P20382,PMCH,E,0.02200416661798954,0,0,0
99,P47804,RGR,E,0.005289556924253702,0,0,0
100,Q8IZJ4,RGL4,E,0.02197336219251156,0,0,0
101,P33993,MCM7,E,0.09023895859718323,0,0,0
102,P49736,MCM2,E,0.11447327584028244,0,0,0
103,P28906,CD34,E,0.004602150525897741,0,0,0
104,Q04771,ACVR1,E,0.002536479150876403,0,0,0
105,Q9H2H9,SLC38A1,E,0.08989373594522476,0,0,0
106,Q6N069,NAA16,E,0.01913345418870449,0,0,0
107,P11245,NAT2,E,0.033875156193971634,0,0,0
108,P48047,ATP5PO,E,0.16236230731010437,0.0,0.203645666,0
109,Q13895,BYSL,E,0.03303888812661171,0.0,0.023098822999999997,0
110,P98179,RBM3,E,0.07610025256872177,0,0,0
111,P28702,RXRB,E,0.008042780682444572,0,0,0
112,P35070,BTC,E,0.028305543586611748,0,0,0
113,Q00604,NDP,E,0.060124337673187256,0,0,0
114,P11177,PDHB,E,0.0751783549785614,0.0,0.008918595,0
115,Q00688,FKBP3,E,0.0513174906373024,0.01,0.220442124,0
116,Q13875,MOBP,E,0.005062745418399572,0,0,0
117,Q92988,DLX4,E,0.018296057358384132,0,0,0
118,Q9BYF1,ACE2,E,0.009628945030272007,0,0,0
119,O00303,EIF3F,E,0.579895555973053,0,0,0
120,O00560,SDCBP,E,0.4758160412311554,0,0,0
121,P68104,EEF1A1,E,0.5873298048973083,0,0,0
122,P63279,UBE2I,E,0.6061403751373291,0,0,0
123,O75348,ATP6V1G1,E,0.16183340549468994,0,0,0
124,Q03135,CAV1,E,0.03235294297337532,0,0,0
125,O43765,SGTA,E,0.1724936068058014,0,0,0
126,Q07817,BCL2L1,E,0.42862072587013245,0,0,0
127,Q8N3R9,PALS1,E,0.003624856472015381,0,0,0
128,P09651,HNRNPA1,E,0.545491635799408,0.01,0.345865456,0
129,P62937,PPIA,E,0.2942589819431305,0.0,0.316551591,0
130,O75569,PRKRA,E,0.21477825939655304,0,0,0
131,P05161,ISG15,E,0.33732709288597107,0,0,0
132,P15311,EZR,E,0.20702525973320007,0.0,0.051523125,0
133,P49840,GSK3A,E,0.004866082686930895,0,0,0
134,P49841,GSK3B,E,0.005129458848387003,0,0,0
135,P62942,FKBP1A,E,0.050129782408475876,0.0,0.322786729,0
136,Q9Y4W2,LAS1L,E,0.583694577217102,0,0,0
137,Q13427,PPIG,E,0.10079971700906754,0.0,0.016396125,0
138,O43447,PPIH,E,0.03186050429940224,0,0,0
139,Q9UKA8,RCAN3,E,0.25618720054626465,0,0,0
140,Q9Y2D1,ATF5,E,0.014893898740410805,0,0,0
141,P78410,BTN3A2,E,0.04914565756917,0,0,0
142,O00478,BTN3A3,E,0.003875523339956999,0,0,0
143,P20290,BTF3,E,0.03256606683135033,0.0,0.207088818,0
144,Q9UQN3,CHMP2B,E,0.03868729993700981,0,0,0
145,O95299,NDUFA10,E,0.09422239661216736,0,0,0
146,Q99471,PFDN5,E,0.16507306694984436,0,0,0
147,Q5SQN1,SNAP47,E,0.008321588858962059,0,0,0
148,Q15661,TPSAB1,E,0.05957232788205147,0,0,0
149,O96017,CHEK2,E,0.6088815331459045,0,0,0
150,Q8N488,RYBP,E,0.008172203786671162,0.32,0.518790973,0
151,P05155,SERPING1,E,0.07146424800157547,0,0,0
152,Q9H000,MKRN2,E,0.07902853935956955,0,0,0
153,Q13064,MKRN3,E,0.3037295341491699,0,0,0
154,O95865,DDAH2,E,0.049347423017024994,0,0,0
155,A9UHW6,MIF4GD,E,0.0565611757338047,0,0,0
156,P69849,NOMO3,E,0.08787794411182404,0,0,0
157,P54274,TERF1,E,0.24141445755958557,0,0,0
158,Q13561,DCTN2,E,0.45078763365745544,0,0,0
159,O14964,HGS,E,0.10416493564844131,0,0,0
160,Q9BQB6,VKORC1,E,0.2156546711921692,0.0,0.370302798,0
161,P49069,CAMLG,E,0.4360353350639343,0,0,0
162,P46379,BAG6,E,0.01376111339777708,0,0,0
163,P27448,MARK3,E,0.012384799309074879,0,0,0
164,P25787,PSMA2,E,0.1280953288078308,0,0,0
165,P60866,RPS20,E,0.2073030173778534,0.0,0.329945488,0
166,Q9UL52,TMPRSS11E,E,0.045536357909440994,0,0,0
167,O15393,TMPRSS2,E,0.05284161493182182,0,0,0
168,O95429,BAG4,E,0.05398087948560715,0,0,0
169,Q96BA8,CREB3L1,E,0.004416539333760738,0,0,0
170,O75360,PROP1,E,0.07211674004793167,0,0,0
171,P61165,TMEM258,E,0.04091636463999748,0,0,0
172,P78563,ADARB1,E,0.07554103434085846,0,0,0
173,O15145,ARPC3,E,0.03298231214284897,0.0,0.215369376,0
174,Q16543,CDC37,E,0.7758346796035767,0,0,0
175,Q08426,EHHADH,E,0.025803370401263237,0,0,0
176,P19525,EIF2AK2,E,0.5808902978897095,0,0,0
177,Q14241,ELOA,E,0.0620550736784935,0.0,0.049202977,0
178,Q13283,G3BP1,E,0.3328564763069153,0,0,0
179,Q9UN86,G3BP2,E,0.0074826981872320175,0,0,0
180,Q07866,KLC1,E,0.0501900240778923,0,0,0
181,Q6P597,KLC3,E,0.06443167477846146,0,0,0
182,Q9H0B6,KLC2,E,0.05638590082526207,0,0,0
183,Q9NSK0,KLC4,E,0.20133116841316223,0,0,0
184,Q9NX58,LYAR,E,0.04447288066148758,0.0,0.18695954399999998,0
185,Q9UBU8,MORF4L1,E,0.050477705895900726,0.29,0.050528132,0
186,Q15014,MORF4L2,E,0.0538674034178257,0,0,0
